session,animal,date,session_type,learning_stage,area,n_units,n_trials,n_stimuli,within_go,within_nogo,within_avg,across,categoricality_index
G3A3 | 13/02/2025 | (1b Expert) 1b Categorization,G3A3,13/02/2025,(1b Expert) 1b Categorization,1b Expert,ACx,4,372,6,-0.10144248356953038,0.20265362723317973,0.05060557183182468,-0.3014830807760405,0.3520886526078652
G3A3 | 13/02/2025 | (1b Expert) 1b Categorization,G3A3,13/02/2025,(1b Expert) 1b Categorization,1b Expert,OFC,22,369,6,-0.2596410501042616,-0.14849714172623715,-0.20406909591524935,-0.17659462141964236,-0.027474474495607
G4A5 | 7/4/2025 | (1b Expert) 1b Categorization,G4A5,7/4/2025,(1b Expert) 1b Categorization,1b Expert,OFC,6,300,8,-0.22858791966106837,-0.09584453247894255,-0.16221622607000544,-0.11113006086653548,-0.05108616520346995
G5A3 | 31/7/2025 | (1b Expert) 1b Categorization,G5A3,31/7/2025,(1b Expert) 1b Categorization,1b Expert,ACx,210,112,8,-0.05384917163842212,0.04444869149217212,-0.0047002400731250005,-0.2417544516177433,0.2370542115446183
G5A3 | 31/7/2025 | (1b Expert) 1b Categorization,G5A3,31/7/2025,(1b Expert) 1b Categorization,1b Expert,OFC,12,112,8,-0.025648742268462716,0.08642114405381264,0.030386200892674974,-0.24148456039389873,0.2718707612865737
G3A3 | 20/2/2025 | (2b Expert) 2b Categorization,G3A3,20/2/2025,(2b Expert) 2b Categorization,2b Expert,OFC,4,301,12,-0.11209351345063216,-0.14901347209660068,-0.11860880027050896,0.0006273015253221298,-0.11923610179583109
G4A3 | 6/4/2025 | (2b Expert) 2b Categorization,G4A3,6/4/2025,(2b Expert) 2b Categorization,2b Expert,OFC,8,334,12,-0.07795907569054746,-0.10561684087635836,-0.08283985778216113,-0.08719044469342478,0.004350586911263651
G4A4 | 27/3/2025 | (Novice) 2b Categorization,G4A4,27/3/2025,(Novice) 2b Categorization,Novice,ACx,14,290,12,-0.08283896681206779,0.09137254117067957,-0.0520957595209947,-0.12687571258964378,0.07477995306864908
G5A3 | 17/7 | (Novice) 2b Categorization,G5A3,17/7,(Novice) 2b Categorization,Novice,ACx,76,299,12,-0.09852986932246553,-0.08448042879620381,-0.09605055628841933,-0.08373662265915785,-0.012313933629261475
G5A3 | 17/7 | (Novice) 2b Categorization,G5A3,17/7,(Novice) 2b Categorization,Novice,OFC,29,299,12,-0.10328043906436268,-0.05909045504230696,-0.09548220658988227,-0.07371299471142184,-0.021769211878460426
G7A2 | 28/10/2025 | (Novice) 2b Categorization,G7A2,28/10/2025,(Novice) 2b Categorization,Novice,ACx,415,350,9,-0.13009644761136419,-0.08752530009836262,-0.1281613954516823,-0.1164308712595009,-0.011730524192181388
G7A2 | 28/10/2025 | (Novice) 2b Categorization,G7A2,28/10/2025,(Novice) 2b Categorization,Novice,OFC,25,350,9,-0.11199482881225614,0.2896000968818877,-0.09374051400797688,-0.16315666126421377,0.06941614725623689
G7A3 | 28/10/2025 | (Novice) 2b Categorization,G7A3,28/10/2025,(Novice) 2b Categorization,Novice,OFC,134,350,9,-0.12236167558510112,-0.11563462328673141,-0.12205590048062978,-0.12535885315200357,0.003302952671373788
