metric,area,group_a,group_b,n_a,n_b,mean_a,mean_b,U,p,p_adj,sig
categoricality_index,ACx,Novice,1b Expert,5,8,0.02003862505040721,0.00344934506734214,22.0,0.8259648022720806,1.0,
categoricality_index,ACx,Novice,2b Expert,5,6,0.02003862505040721,0.07370650452656745,12.0,0.6623376623376623,1.0,
categoricality_index,ACx,1b Expert,2b Expert,8,6,0.00344934506734214,0.07370650452656745,19.0,0.5608449284286947,1.0,
categoricality_index,OFC,Novice,1b Expert,6,5,-0.0027353320420042634,0.19210589831437122,0.0,0.004329004329004329,0.012987012987012988,*
categoricality_index,OFC,Novice,2b Expert,6,3,-0.0027353320420042634,0.0013066606440287343,8.0,0.9047619047619047,1.0,
categoricality_index,OFC,1b Expert,2b Expert,5,3,0.19210589831437122,0.0013066606440287343,15.0,0.03571428571428571,0.10714285714285714,
separation_index,ACx,Novice,1b Expert,5,8,0.008906548984457096,0.0002555194382516247,22.0,0.8259648022720806,1.0,
separation_index,ACx,Novice,2b Expert,5,6,0.008906548984457096,0.0336045507560061,12.0,0.6623376623376623,1.0,
separation_index,ACx,1b Expert,2b Expert,8,6,0.0002555194382516247,0.0336045507560061,19.0,0.5608449284286947,1.0,
separation_index,OFC,Novice,1b Expert,6,5,-0.0010732515441215782,0.0825151328046695,0.0,0.004329004329004329,0.012987012987012988,*
separation_index,OFC,Novice,2b Expert,6,3,-0.0010732515441215782,0.000651582396016971,8.0,0.9047619047619047,1.0,
separation_index,OFC,1b Expert,2b Expert,5,3,0.0825151328046695,0.000651582396016971,15.0,0.03571428571428571,0.10714285714285714,
