animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,stimulus,trials,n_mouse_go,n_gt_go,n_ofc_go,p_mouse_go,p_gt_go,p_ofc_go,error_trials_only,condition,acx_pred,ofc_pred,n_condition,n_mouse_nogo,p_mouse_nogo,n_gt_nogo,p_gt_nogo,n_acx_go,p_acx_go
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,0.7070000000000001,69.0,59.0,69.0,41.0,0.855072463768116,1.0,0.5942028985507246,False,,,,,,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,0.7709889669943373,69.0,60.0,69.0,40.0,0.8695652173913043,1.0,0.5797101449275363,False,,,,,,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,0.8407694303069239,46.0,39.0,46.0,25.0,0.8478260869565217,1.0,0.5434782608695652,False,,,,,,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,1.1890275311687524,69.0,14.0,0.0,28.0,0.2028985507246377,0.0,0.4057971014492754,False,,,,,,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,1.2966437170914054,70.0,9.0,0.0,31.0,0.12857142857142856,0.0,0.44285714285714284,False,,,,,,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,1.414,46.0,0.0,0.0,19.0,0.0,0.0,0.41304347826086957,False,,,,,,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,0.7070000000000001,10.0,0.0,10.0,7.0,0.0,1.0,0.7,True,,,,,,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,0.7709889669943373,9.0,0.0,9.0,5.0,0.0,1.0,0.5555555555555556,True,,,,,,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,0.8407694303069239,7.0,0.0,7.0,3.0,0.0,1.0,0.42857142857142855,True,,,,,,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,1.1890275311687524,14.0,14.0,0.0,6.0,1.0,0.0,0.42857142857142855,True,,,,,,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,1.2966437170914054,9.0,9.0,0.0,6.0,1.0,0.0,0.6666666666666666,True,,,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,True,,,117.0,138.0,,0.6842105263157895,0.8070175438596491,,,"ACx=Go, OFC=Go",1.0,1.0,171.0,54.0,0.3157894736842105,33.0,0.19298245614035087,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,True,,,10.0,6.0,,0.4,0.24,,,"ACx=Go, OFC=No-Go",1.0,0.0,25.0,15.0,0.6,19.0,0.76,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,True,,,8.0,7.0,,0.42105263157894735,0.3684210526315789,,,"ACx=No-Go, OFC=Go",0.0,1.0,19.0,11.0,0.5789473684210527,12.0,0.631578947368421,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,True,,,11.0,8.0,,0.28205128205128205,0.20512820512820512,,,"ACx=No-Go, OFC=No-Go",0.0,0.0,39.0,28.0,0.717948717948718,31.0,0.7948717948717948,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,,,65.0,41.0,,0.7222222222222222,0.45555555555555555,,,"ACx=Go, OFC=Go",1.0,1.0,90.0,25.0,0.2777777777777778,49.0,0.5444444444444444,,
