animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,stimulus,trials,n_mouse_go,n_gt_go,n_ofc_go,p_mouse_go,p_gt_go,p_ofc_go,error_trials_only,n_trials,cohen_mouse_acx,p_agree_mouse_acx,cohen_mouse_ofc,p_agree_mouse_ofc,cohen_acx_ofc,p_agree_acx_ofc,cohen_gt_acx,p_agree_gt_acx,cohen_gt_ofc,p_agree_gt_ofc,cohen_gt_mouse,p_agree_gt_mouse,fleiss_mouse_acx_ofc,fleiss_mouse_acx_ofc_gt,n_acx_go,p_acx_go
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,0.7070000000000001,69.0,59.0,69.0,41.0,0.855072463768116,1.0,0.5942028985507246,False,,,,,,,,,,,,,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,0.7709889669943373,69.0,60.0,69.0,40.0,0.8695652173913043,1.0,0.5797101449275363,False,,,,,,,,,,,,,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,0.8407694303069239,46.0,39.0,46.0,25.0,0.8478260869565217,1.0,0.5434782608695652,False,,,,,,,,,,,,,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,1.1890275311687524,69.0,14.0,0.0,28.0,0.2028985507246377,0.0,0.4057971014492754,False,,,,,,,,,,,,,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,1.2966437170914054,70.0,9.0,0.0,31.0,0.12857142857142856,0.0,0.44285714285714284,False,,,,,,,,,,,,,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,1.414,46.0,0.0,0.0,19.0,0.0,0.0,0.41304347826086957,False,,,,,,,,,,,,,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,0.7070000000000001,10.0,0.0,10.0,7.0,0.0,1.0,0.7,True,,,,,,,,,,,,,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,0.7709889669943373,9.0,0.0,9.0,5.0,0.0,1.0,0.5555555555555556,True,,,,,,,,,,,,,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,0.8407694303069239,7.0,0.0,7.0,3.0,0.0,1.0,0.42857142857142855,True,,,,,,,,,,,,,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,1.1890275311687524,14.0,14.0,0.0,6.0,1.0,0.0,0.42857142857142855,True,,,,,,,,,,,,,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,1.2966437170914054,9.0,9.0,0.0,6.0,1.0,0.0,0.6666666666666666,True,,,,,,,,,,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,254.0,0.24578215683628005,0.6535433070866141,0.26855076346102347,0.6614173228346457,0.5257171957222883,0.8267716535433071,0.38876517491559515,0.7362204724409449,0.4690710692269538,0.7677165354330708,0.36995038979447203,0.6968503937007874,0.3211997384766263,0.36511781513228686,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,300.0,0.056213833011849,0.5433333333333333,0.010665169800729717,0.53,0.005064312284318599,0.5066666666666667,-0.08666666666666667,0.45666666666666667,-0.06000000000000005,0.47,0.22666666666666657,0.6133333333333333,0.010141275611367948,0.015844448747593717,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,0.7070000000000001,38.0,35.0,38.0,,0.9210526315789473,1.0,,False,,,,,,,,,,,,,,,,18.0,0.47368421052631576
