session,error
"G3A3 | 14/02/2025 | (1b Expert) 1b Categorization (ACx=0, OFC=62)",No valid area data found for decoding. ACx: No imec0 probe folder with event windows found under /ems/elsc-labs/mizrahi-a/Shared/Amichai/Data/pipeline_output/catgt_G3A3_rec2_g0; OFC: No imec1 probe folder with event windows found under /ems/elsc-labs/mizrahi-a/Shared/Amichai/Data/pipeline_output/catgt_G3A3_rec2_g0
"G4A5 | 7/4/2025 | (1b Expert) 2b Categorization (ACx=12, OFC=35)","Need at least 20 trials per choice class; found [288, 12]."
"G7A1 | 12/11/2025 | (1b Expert) 2b Categorization (ACx=47, OFC=69)","Need at least 20 trials per choice class; found [64, 10]."
"G3A5 | 20/2/2026 | (2b Expert) 2b Categorization (ACx=73, OFC=0)","Need at least 20 trials per choice class; found [385, 15]."
"G4A2 | 26/3/2025 | (Novice) 1b Categorization (ACx=197, OFC=119)","Need at least 20 trials per choice class; found [1, 6]."
"G4A3 | 26/3/2025 | (Novice) 1b Categorization (ACx=62, OFC=12)","Need at least 20 trials per choice class; found [5, 295]."
"G4A2 | 26/3/2025 | (Novice) 2b Categorization (ACx=195, OFC=5)","Need at least 20 trials per choice class; found [0, 6]."
"G4A3 | 26/3/2025 | (Novice) 2b Categorization (ACx=17, OFC=3)",No valid area data found for decoding. ACx: No imec0 probe folder with event windows found under /ems/elsc-labs/mizrahi-a/Shared/Amichai/Data/pipeline_output/catgt_G4A3_novice_2boudaries4_g0; OFC: No imec1 probe folder with event windows found under /ems/elsc-labs/mizrahi-a/Shared/Amichai/Data/pipeline_output/catgt_G4A3_novice_2boudaries4_g0
"G4A5 | 27/3/2025 | (Novice) 2b Categorization (ACx=24, OFC=41)",No valid area data found for decoding. ACx: No imec0 probe folder with event windows found under /ems/elsc-labs/mizrahi-a/Shared/Amichai/Data/pipeline_output/catgt_G4A5_novice_2b_4t_g0; OFC: No imec1 probe folder with event windows found under /ems/elsc-labs/mizrahi-a/Shared/Amichai/Data/pipeline_output/catgt_G4A5_novice_2b_4t_g0
"G5A1 | 16/7 | (Novice) 2b Categorization (ACx=64, OFC=95)",No valid area data found for decoding. ACx: No imec0 probe folder with event windows found under /ems/elsc-labs/mizrahi-a/Shared/Amichai/Data/pipeline_output/catgt_G5A1_naive_2b_4t_high_and_low_g0; OFC: No imec1 probe folder with event windows found under /ems/elsc-labs/mizrahi-a/Shared/Amichai/Data/pipeline_output/catgt_G5A1_naive_2b_4t_high_and_low_g0
"G5A2 | 16/7 | (Novice) 2b Categorization (ACx=115, OFC=311)","Need at least 20 trials per choice class; found [130, 6]."
"G7A1 | 28/10/2025 | (Novice) 2b Categorization (ACx=25, OFC=309)",No valid area data found for decoding. ACx: No imec0 probe folder with event windows found under /ems/elsc-labs/mizrahi-a/Shared/Amichai/Data/pipeline_output/catgt_G7A1_novice_2b_4t_g0; OFC: No imec1 probe folder with event windows found under /ems/elsc-labs/mizrahi-a/Shared/Amichai/Data/pipeline_output/catgt_G7A1_novice_2b_4t_g0
"G5A2 | 16/7 | (Novice) FRA (ACx=118, OFC=326)",No valid area data found for decoding. ACx: No imec0 probe folder with event windows found under /ems/elsc-labs/mizrahi-a/Shared/Amichai/Data/G5A2/2025-07-16/14-36-00/ephys/catgt_G5A2_naive_FRA_g0; OFC: No imec1 probe folder with event windows found under /ems/elsc-labs/mizrahi-a/Shared/Amichai/Data/G5A2/2025-07-16/14-36-00/ephys/catgt_G5A2_naive_FRA_g0
