animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,condition,acx_pred,ofc_pred,n_condition,n_mouse_go,n_mouse_nogo,p_mouse_go,p_mouse_nogo,n_gt_go,n_gt_nogo,p_gt_go,p_gt_nogo,stimulus,trials,n_acx_go,p_acx_go,error_trials_only,n_ofc_go,p_ofc_go
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,"ACx=Go, OFC=Go",1.0,1.0,121.0,91.0,30.0,0.7520661157024794,0.24793388429752067,96.0,25.0,0.7933884297520661,0.2066115702479339,,,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,"ACx=Go, OFC=No-Go",1.0,0.0,81.0,15.0,66.0,0.18518518518518517,0.8148148148148148,17.0,64.0,0.20987654320987653,0.7901234567901234,,,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,"ACx=No-Go, OFC=Go",0.0,1.0,82.0,56.0,26.0,0.6829268292682927,0.3170731707317073,57.0,25.0,0.6951219512195121,0.3048780487804878,,,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,"ACx=No-Go, OFC=No-Go",0.0,0.0,85.0,19.0,66.0,0.2235294117647059,0.7764705882352941,14.0,71.0,0.16470588235294117,0.8352941176470589,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,"ACx=Go, OFC=Go",1.0,1.0,171.0,117.0,54.0,0.6842105263157895,0.3157894736842105,138.0,33.0,0.8070175438596491,0.19298245614035087,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,"ACx=Go, OFC=No-Go",1.0,0.0,25.0,10.0,15.0,0.4,0.6,6.0,19.0,0.24,0.76,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,"ACx=No-Go, OFC=Go",0.0,1.0,19.0,8.0,11.0,0.42105263157894735,0.5789473684210527,7.0,12.0,0.3684210526315789,0.631578947368421,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,"ACx=No-Go, OFC=No-Go",0.0,0.0,39.0,11.0,28.0,0.28205128205128205,0.717948717948718,8.0,31.0,0.20512820512820512,0.7948717948717948,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,"ACx=Go, OFC=Go",1.0,1.0,90.0,65.0,25.0,0.7222222222222222,0.2777777777777778,41.0,49.0,0.45555555555555555,0.5444444444444444,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,"ACx=Go, OFC=No-Go",1.0,0.0,71.0,55.0,16.0,0.7746478873239436,0.22535211267605634,33.0,38.0,0.4647887323943662,0.5352112676056338,,,,,,,
