animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,n_trials,cohen_mouse_acx,p_agree_mouse_acx,cohen_mouse_ofc,p_agree_mouse_ofc,cohen_acx_ofc,p_agree_acx_ofc,cohen_gt_acx,p_agree_gt_acx,cohen_gt_ofc,p_agree_gt_ofc,cohen_gt_mouse,p_agree_gt_mouse,var_agree_acx_ofc,fleiss_mouse_acx_ofc,fleiss_mouse_acx_ofc_gt,stimulus,trials,n_mouse_go,n_gt_go,n_acx_go,p_mouse_go,p_gt_go,p_acx_go,error_trials_only,n_ofc_go,p_ofc_go
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,369.0,0.07483541779687125,0.5365853658536586,0.5131212432194693,0.7560975609756098,0.10804798837364504,0.5582655826558266,0.1330141854386326,0.5663956639566395,0.5610948765767486,0.7804878048780488,0.7344036899393335,0.8672086720867209,0.24660512187777703,0.23131546710513362,0.3537986093226884,,,,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,254.0,0.24578215683628005,0.6535433070866141,0.26855076346102347,0.6614173228346457,0.5257171957222883,0.8267716535433071,0.38876517491559515,0.7362204724409449,0.4690710692269538,0.7677165354330708,0.36995038979447203,0.6968503937007874,0.14322028644057289,0.3211997384766263,0.36511781513228686,,,,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,300.0,0.056213833011849,0.5433333333333333,0.010665169800729717,0.53,0.005064312284318599,0.5066666666666667,-0.08666666666666667,0.45666666666666667,-0.06000000000000005,0.47,0.22666666666666657,0.6133333333333333,0.24995555555555554,0.010141275611367948,0.015844448747593717,,,,,,,,,,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,False,,,,,,,,,,,,,,,,,0.7070000000000001,38.0,35.0,38.0,18.0,0.9210526315789473,1.0,0.47368421052631576,False,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,False,,,,,,,,,,,,,,,,,0.769344846128565,38.0,35.0,38.0,22.0,0.9210526315789473,1.0,0.5789473684210527,False,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,False,,,,,,,,,,,,,,,,,0.837187400657122,37.0,35.0,37.0,17.0,0.9459459459459459,1.0,0.4594594594594595,False,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,False,,,,,,,,,,,,,,,,,0.9110124638462896,37.0,33.0,37.0,20.0,0.8918918918918919,1.0,0.5405405405405406,False,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,False,,,,,,,,,,,,,,,,,1.07876684098121,38.0,27.0,0.0,14.0,0.7105263157894737,0.0,0.3684210526315789,False,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,False,,,,,,,,,,,,,,,,,1.1738949211927685,38.0,14.0,0.0,18.0,0.3684210526315789,0.0,0.47368421052631576,False,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,False,,,,,,,,,,,,,,,,,1.27741160893374,37.0,17.0,0.0,25.0,0.4594594594594595,0.0,0.6756756756756757,False,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,False,,,,,,,,,,,,,,,,,1.390056630435602,37.0,16.0,0.0,20.0,0.43243243243243246,0.0,0.5405405405405406,False,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,False,,,,,,,,,,,,,,,,,1.07876684098121,27.0,27.0,0.0,11.0,1.0,0.0,0.4074074074074074,True,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,False,,,,,,,,,,,,,,,,,1.1738949211927685,14.0,14.0,0.0,7.0,1.0,0.0,0.5,True,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,False,,,,,,,,,,,,,,,,,1.27741160893374,17.0,17.0,0.0,11.0,1.0,0.0,0.6470588235294118,True,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,False,,,,,,,,,,,,,,,,,1.390056630435602,16.0,16.0,0.0,10.0,1.0,0.0,0.625,True,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,112.0,0.4485387547649301,0.7232142857142857,0.006451612903225688,0.5089285714285714,0.043945621245652995,0.5178571428571429,0.5178571428571428,0.7589285714285714,-0.0535714285714286,0.4732142857142857,0.4642857142857142,0.7321428571428571,0.24968112244897958,0.16370359835016335,0.2365737412466387,,,,,,,,,,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,False,,,,,,,,,,,,,,,,,0.7070000000000001,53.0,14.0,53.0,32.0,0.2641509433962264,1.0,0.6037735849056604,False,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,False,,,,,,,,,,,,,,,,,0.7890990840419705,53.0,8.0,53.0,35.0,0.1509433962264151,1.0,0.660377358490566,False,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,False,,,,,,,,,,,,,,,,,0.8807317743081708,52.0,6.0,52.0,35.0,0.11538461538461539,1.0,0.6730769230769231,False,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,False,,,,,,,,,,,,,,,,,1.2245599209511964,55.0,9.0,0.0,43.0,0.16363636363636364,0.0,0.7818181818181819,False,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,False,,,,,,,,,,,,,,,,,1.3667597057667562,55.0,2.0,0.0,37.0,0.03636363636363636,0.0,0.6727272727272727,False,,
