animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,stimulus,n_trials,cohen_mouse_acx,p_agree_mouse_acx,cohen_mouse_ofc,p_agree_mouse_ofc,cohen_acx_ofc,p_agree_acx_ofc,cohen_gt_acx,p_agree_gt_acx,cohen_gt_ofc,p_agree_gt_ofc,cohen_gt_mouse,p_agree_gt_mouse,var_agree_acx_ofc,fleiss_mouse_acx_ofc,fleiss_mouse_acx_ofc_gt,trials,n_mouse_go,n_gt_go,n_acx_go,p_mouse_go,p_gt_go,p_acx_go,error_trials_only,n_ofc_go,p_ofc_go
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,0.7070000000000001,69.0,-0.19450101832993896,0.5072463768115942,0.15853658536585344,0.8260869565217391,-0.018987341772152083,0.5942028985507246,0.0,0.6231884057971014,0.0,0.9130434782608695,0.0,0.855072463768116,0.24112581390464188,-0.10519480519480519,-0.08587708587708591,,,,,,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,0.7709889669943373,69.0,0.005578800557880027,0.5507246376811594,0.14018691588785018,0.7681159420289855,0.02194787379972578,0.5507246376811594,0.0,0.5652173913043478,0.0,0.8115942028985508,0.0,0.8695652173913043,0.2474270111321151,-0.0016129032258060223,-0.026785714285714066,,,,,,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,0.8407694303069239,46.0,-0.03241895261845358,0.6086956521739131,0.28328611898017003,0.7608695652173914,0.21768707482993194,0.6739130434782609,0.0,0.6739130434782609,0.0,0.7391304347826086,0.0,0.8478260869565217,0.21975425330812853,0.1414027149321265,0.06196078431372526,,,,,,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,1.1890275311687524,69.0,-0.041397153945666135,0.4927536231884058,0.15005599104143358,0.6811594202898551,-0.15147625160462144,0.43478260869565216,0.0,0.5217391304347826,0.0,0.7101449275362319,0.0,0.7971014492753623,0.2457466918714556,-0.0592750533049039,-0.0709133757052066,,,,,,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,1.2966437170914054,70.0,0.11508282476024409,0.5857142857142857,0.2818057455540353,0.7857142857142857,0.1010273972602738,0.5714285714285714,-2.4286128663675304e-16,0.5428571428571428,0.0,0.7714285714285715,0.0,0.8714285714285714,0.24489795918367346,0.10904712762297877,0.03810347992552329,,,,,,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,1.414,46.0,0.0,0.4782608695652174,0.0,0.6956521739130435,0.14498141263940506,0.5652173913043478,0.0,0.4782608695652174,0.0,0.6956521739130435,,1.0,0.2457466918714556,-0.05315789473684237,-0.061283345349675555,,,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,0.7070000000000001,48.0,0.04950495049504964,0.75,0.01265822784810122,0.7291666666666666,0.5384615384615383,0.9375,0.0,0.9375,0.0,0.9166666666666666,0.0,0.7708333333333334,0.05859375,0.11111111111111072,0.060025542784162896,,,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,0.769344846128565,47.0,0.1709633649932158,0.723404255319149,0.2985074626865671,0.7659574468085106,0.42682926829268286,0.8723404255319149,0.0,0.8723404255319149,0.0,0.8723404255319149,0.0,0.723404255319149,0.11136260751471251,0.2706896551724146,0.15419222903885438,,,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,0.837187400657122,32.0,-0.061224489795918366,0.59375,0.0,0.625,0.0,0.96875,0.0,0.96875,,1.0,0.0,0.625,0.0302734375,-0.1566265060240963,-0.11304347826086956,,,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,0.9110124638462896,32.0,0.2849162011173184,0.75,0.3488372093023256,0.78125,0.6129032258064516,0.90625,0.0,0.84375,0.0,0.875,0.0,0.71875,0.0849609375,0.38461538461538464,0.22424242424242424,,,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,1.07876684098121,31.0,0.10404624277456641,0.5161290322580645,-0.020576131687242823,0.4838709677419355,0.5450733752620545,0.7741935483870968,0.0,0.3870967741935484,0.0,0.4838709677419355,-3.441691376337986e-16,0.6774193548387096,0.17481789802289283,0.18194444444444455,0.03497421472105018,,,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,1.1738949211927685,32.0,0.2,0.5625,0.25,0.625,0.25,0.625,0.0,0.375,0.0,0.5,0.0,0.6875,0.234375,0.20695652173913032,0.04984093319194061,,,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,1.27741160893374,16.0,-0.015873015873015872,0.5,-0.04918032786885246,0.5,0.21311475409836064,0.625,0.0,0.5625,0.0,0.6875,0.0,0.5625,0.234375,0.04174228675136096,-0.02300194931773888,,,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,1.390056630435602,16.0,0.3103448275862069,0.6875,0.125,0.5625,0.25,0.625,0.0,0.625,0.0,0.5,0.0,0.6875,0.234375,0.21597096188747722,0.07680311890838189,,,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,0.7070000000000001,38.0,0.03217158176943701,0.5,0.028753993610223627,0.5789473684210527,0.010958904109588937,0.5,0.0,0.47368421052631576,0.0,0.6052631578947368,0.0,0.8157894736842105,0.25,-0.017857142857143165,-0.05281385281385308,,,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,0.769344846128565,38.0,-0.038004750593824146,0.39473684210526316,0.1578947368421053,0.5789473684210527,0.10526315789473695,0.5526315789473685,0.0,0.3684210526315789,0.0,0.5,0.0,0.8157894736842105,0.24722991689750692,0.0024999999999997507,-0.05307189542483653,,,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,0.837187400657122,37.0,0.08074534161490662,0.5675675675675675,0.2578796561604584,0.6216216216216216,0.02915451895043719,0.5135135135135135,0.0,0.5405405405405406,0.0,0.4864864864864865,0.0,0.8648648648648649,0.2498173849525201,0.07177700348432028,-0.0008358027505509101,,,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,0.9110124638462896,37.0,0.3182579564489113,0.7027027027027027,-0.10119047619047618,0.4594594594594595,0.07635829662261383,0.5405405405405406,0.0,0.5945945945945946,0.0,0.5135135135135135,0.0,0.8378378378378378,0.2483564645726808,0.051282051282050954,-0.009644789461303531,,,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,1.07876684098121,38.0,0.05263157894736836,0.5263157894736842,0.028753993610223627,0.5789473684210527,0.05263157894736836,0.5263157894736842,0.0,0.5,8.437694987151189e-17,0.34210526315789475,0.0,0.2894736842105263,0.24930747922437674,0.029151654110710263,-0.08363762823856746,,,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,1.1738949211927685,38.0,0.3467048710601719,0.6842105263157895,-0.11142061281337041,0.4473684210526316,-0.23098591549295783,0.39473684210526316,8.437694987151189e-17,0.34210526315789475,-1.0547118733938988e-16,0.47368421052631576,1.0044874984703796e-16,0.4473684210526316,0.2389196675900277,-0.0075757575757579585,-0.08902983321587984,,,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,1.27741160893374,37.0,-0.05714285714285722,0.4864864864864865,0.01564945226917051,0.5405405405405406,0.1216617210682493,0.5675675675675675,1.0269562977782697e-16,0.4594594594594595,9.335966343438815e-17,0.40540540540540543,0.0,0.32432432432432434,0.24543462381300218,0.021031207598371352,-0.08175173515140359,,,,,,,,,,
