animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,agreement_state,n_trials,n_behavior_match,p_behavior_match,odds_behavior_match,stimulus,trials,n_mouse_go,n_gt_go,n_acx_go,p_mouse_go,p_gt_go,p_acx_go,error_trials_only,n_ofc_go,p_ofc_go
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,All trials,369.0,198.0,0.5365853658536586,1.1578947368421053,,,,,,,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,Models agree (pooled),206.0,157.0,0.7621359223300971,3.204081632653061,,,,,,,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,Both Go,121.0,91.0,0.7520661157024794,3.033333333333334,,,,,,,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,Both No-Go,85.0,66.0,0.7764705882352941,3.473684210526316,,,,,,,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,Models disagree,163.0,41.0,0.25153374233128833,0.3360655737704918,,,,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,All trials,254.0,166.0,0.6535433070866141,1.886363636363636,,,,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,Models agree (pooled),210.0,145.0,0.6904761904761905,2.230769230769231,,,,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,Both Go,171.0,117.0,0.6842105263157895,2.166666666666667,,,,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,Both No-Go,39.0,28.0,0.717948717948718,2.5454545454545454,,,,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,Models disagree,44.0,21.0,0.4772727272727273,0.9130434782608696,,,,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,All trials,300.0,163.0,0.5433333333333333,1.1897810218978102,,,,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,Models agree (pooled),152.0,87.0,0.5723684210526315,1.3384615384615381,,,,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,Both Go,90.0,65.0,0.7222222222222222,2.5999999999999996,,,,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,Both No-Go,62.0,22.0,0.3548387096774194,0.55,,,,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,Models disagree,148.0,76.0,0.5135135135135135,1.0555555555555554,,,,,,,,,,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,False,,,,,,0.7070000000000001,38.0,35.0,38.0,18.0,0.9210526315789473,1.0,0.47368421052631576,False,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,False,,,,,,0.769344846128565,38.0,35.0,38.0,22.0,0.9210526315789473,1.0,0.5789473684210527,False,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,False,,,,,,0.837187400657122,37.0,35.0,37.0,17.0,0.9459459459459459,1.0,0.4594594594594595,False,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,False,,,,,,0.9110124638462896,37.0,33.0,37.0,20.0,0.8918918918918919,1.0,0.5405405405405406,False,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,False,,,,,,1.07876684098121,38.0,27.0,0.0,14.0,0.7105263157894737,0.0,0.3684210526315789,False,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,False,,,,,,1.1738949211927685,38.0,14.0,0.0,18.0,0.3684210526315789,0.0,0.47368421052631576,False,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,False,,,,,,1.27741160893374,37.0,17.0,0.0,25.0,0.4594594594594595,0.0,0.6756756756756757,False,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,False,,,,,,1.390056630435602,37.0,16.0,0.0,20.0,0.43243243243243246,0.0,0.5405405405405406,False,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,False,,,,,,1.07876684098121,27.0,27.0,0.0,11.0,1.0,0.0,0.4074074074074074,True,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,False,,,,,,1.1738949211927685,14.0,14.0,0.0,7.0,1.0,0.0,0.5,True,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,False,,,,,,1.27741160893374,17.0,17.0,0.0,11.0,1.0,0.0,0.6470588235294118,True,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,False,,,,,,1.390056630435602,16.0,16.0,0.0,10.0,1.0,0.0,0.625,True,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,All trials,112.0,81.0,0.7232142857142857,2.6129032258064515,,,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,Models agree (pooled),58.0,42.0,0.7241379310344828,2.625,,,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,Both Go,26.0,18.0,0.6923076923076923,2.25,,,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,Both No-Go,32.0,24.0,0.75,3.0,,,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,Models disagree,54.0,39.0,0.7222222222222222,2.5999999999999996,,,,,,,,,,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,False,,,,,,0.7070000000000001,53.0,14.0,53.0,32.0,0.2641509433962264,1.0,0.6037735849056604,False,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,False,,,,,,0.7890990840419705,53.0,8.0,53.0,35.0,0.1509433962264151,1.0,0.660377358490566,False,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,False,,,,,,0.8807317743081708,52.0,6.0,52.0,35.0,0.11538461538461539,1.0,0.6730769230769231,False,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,False,,,,,,1.2245599209511964,55.0,9.0,0.0,43.0,0.16363636363636364,0.0,0.7818181818181819,False,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,False,,,,,,1.3667597057667562,55.0,2.0,0.0,37.0,0.03636363636363636,0.0,0.6727272727272727,False,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,False,,,,,,1.5254721809420373,54.0,2.0,0.0,42.0,0.037037037037037035,0.0,0.7777777777777778,False,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,False,,,,,,0.7070000000000001,39.0,0.0,39.0,26.0,0.0,1.0,0.6666666666666666,True,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,False,,,,,,0.7890990840419705,45.0,0.0,45.0,31.0,0.0,1.0,0.6888888888888889,True,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,False,,,,,,0.8807317743081708,46.0,0.0,46.0,32.0,0.0,1.0,0.6956521739130435,True,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,False,,,,,,1.2245599209511964,9.0,9.0,0.0,9.0,1.0,0.0,1.0,True,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,False,All trials,400.0,218.0,0.545,1.197802197802198,,,,,,,,,,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,False,Models agree (pooled),197.0,117.0,0.5939086294416244,1.4625000000000001,,,,,,,,,,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,False,Both Go,132.0,102.0,0.7727272727272727,3.3999999999999995,,,,,,,,,,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,False,Both No-Go,65.0,15.0,0.23076923076923078,0.30000000000000004,,,,,,,,,,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,False,Models disagree,203.0,101.0,0.4975369458128079,0.9901960784313725,,,,,,,,,,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,0.7070000000000001,19.0,7.0,19.0,13.0,0.3684210526315789,1.0,0.6842105263157895,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,0.769344846128565,19.0,6.0,19.0,13.0,0.3157894736842105,1.0,0.6842105263157895,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,0.837187400657122,19.0,10.0,19.0,13.0,0.5263157894736842,1.0,0.6842105263157895,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,0.9110124638462896,19.0,7.0,19.0,15.0,0.3684210526315789,1.0,0.7894736842105263,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,1.07876684098121,37.0,9.0,0.0,28.0,0.24324324324324326,0.0,0.7567567567567568,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,1.1738949211927685,38.0,3.0,0.0,26.0,0.07894736842105263,0.0,0.6842105263157895,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,1.27741160893374,38.0,5.0,0.0,27.0,0.13157894736842105,0.0,0.7105263157894737,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,1.390056630435602,37.0,0.0,0.0,29.0,0.0,0.0,0.7837837837837838,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,1.64602248543222,19.0,7.0,19.0,13.0,0.3684210526315789,1.0,0.6842105263157895,False,,
