animal,date,session_type,session_dprime,area,n_units,n_trials,n_folds,accuracy,precision,recall,roc_auc,accuracy_gt,precision_gt,recall_gt,roc_auc_gt,acx_beta,ofc_beta,beta_diff,beta_diff_ci_low,beta_diff_ci_high,histology_fallback
G3A3,13/02/2025,(1b Expert) 1b Categorization,,OFC,22,369,5,0.5501355013550135,0.5572519083969466,0.40331491712707185,0.5623310215116962,0.5718157181571816,0.5902777777777778,0.46195652173913043,0.588821974148061,,,,,,False
G3A3,20/2/2025,(2b Expert) 2b Categorization,,ACx,46,301,5,0.7009966777408638,0.7,0.7,0.7674172185430465,0.6710963455149501,0.779874213836478,0.6595744680851063,0.6786386744492563,0.5940677885899571,0.3098132523160014,0.28425453627395575,-0.07333520726283099,0.6576274828916007,True
G3A3,20/2/2025,(2b Expert) 2b Categorization,,OFC,18,301,5,0.6777408637873754,0.6625766871165644,0.72,0.737373068432671,0.48172757475083056,0.6311475409836066,0.4095744680851064,0.5192995669365468,0.5940677885899571,0.3098132523160014,0.28425453627395575,-0.07333520726283099,0.6576274828916007,True
G3A5,18/2/2025,(1b Expert) 1b Categorization,,ACx,319,254,5,0.7283464566929134,0.7984496124031008,0.7054794520547946,0.791476407914764,0.8110236220472441,0.8490566037735849,0.8490566037735849,0.856140350877193,0.03979832188591124,0.15145754784020712,-0.1116592259542959,-0.6845887697102807,0.6276494536139747,True
G3A5,18/2/2025,(1b Expert) 1b Categorization,,OFC,442,254,5,0.7519685039370079,0.8120300751879699,0.7397260273972602,0.8142757483510908,0.8503937007874016,0.8579881656804734,0.9119496855345912,0.9114531612048989,0.03979832188591124,0.15145754784020712,-0.1116592259542959,-0.6845887697102807,0.6276494536139747,True
G3A5,20/2/2026,(2b Expert) 2b Categorization,,ACx,120,400,5,0.87,0.02564102564102564,0.06666666666666667,0.39151515151515154,0.4875,0.5991189427312775,0.544,0.4626133333333333,,,,,,True
G4A2,8/4/2025,(2b Expert) 2b Categorization,,ACx,113,500,5,0.58,0.6993006993006993,0.6172839506172839,0.6136363636363636,0.63,0.6326530612244898,0.62,0.6670240000000001,0.18309792847141124,0.03700549547866364,0.1460924329927476,-0.1369556768145385,0.42516416286769493,True
G4A2,8/4/2025,(2b Expert) 2b Categorization,,OFC,49,500,5,0.524,0.6524822695035462,0.5679012345679012,0.5005348625140291,0.542,0.5381818181818182,0.592,0.541328,0.18309792847141124,0.03700549547866364,0.1460924329927476,-0.1369556768145385,0.42516416286769493,True
G4A3,26/3/2025,(Novice) 1b Categorization,,ACx,51,300,5,0.8033333333333333,0.9836065573770492,0.8135593220338984,0.5766101694915253,0.5333333333333333,0.5403225806451613,0.44666666666666666,0.5622222222222222,,,,,,True
G4A3,6/4/2025,(2b Expert) 2b Categorization,,ACx,18,334,5,0.5359281437125748,0.779874213836478,0.5081967213114754,0.5791894353369763,0.5119760479041916,0.5081081081081081,0.5662650602409639,0.5322181583476764,-0.013529521685220803,-0.09338727576196153,0.07985775407674073,-0.30653707877602976,0.551988396717294,True
G4A3,6/4/2025,(2b Expert) 2b Categorization,,OFC,37,334,5,0.47604790419161674,0.676923076923077,0.5409836065573771,0.39754098360655743,0.48502994011976047,0.4870689655172414,0.6807228915662651,0.4778578600114745,-0.013529521685220803,-0.09338727576196153,0.07985775407674073,-0.30653707877602976,0.551988396717294,True
G4A4,27/3/2025,(Novice) 1b Categorization,,ACx,151,204,5,0.6225490196078431,0.6261682242990654,0.6442307692307693,0.6922115384615386,0.5833333333333334,0.59,0.5728155339805825,0.5785831010285494,-0.07021431809469743,0.042938295156840195,-0.11315261325153762,-0.5130261643758326,0.2339479371270876,True
G4A4,27/3/2025,(Novice) 1b Categorization,,OFC,16,204,5,0.6421568627450981,0.6781609195402298,0.5673076923076923,0.6708653846153846,0.4803921568627451,0.4864864864864865,0.5242718446601942,0.4895703162549264,-0.07021431809469743,0.042938295156840195,-0.11315261325153762,-0.5130261643758326,0.2339479371270876,True
G4A4,27/3/2025,(Novice) 2b Categorization,,ACx,158,290,5,0.7034482758620689,0.6,0.6111111111111112,0.7502035002035001,0.5103448275862069,0.5099337748344371,0.5310344827586206,0.49203329369797866,0.10792167663755028,0.14876931843798918,-0.0408476418004389,-0.3825288457568823,0.2617367060438719,True
