Checkbox,Animal,Date,Coordinates Craniotomy / Area,Depth craniotomy ,Angle,spike glx file,Recording Assessment ,Session Type,behavioral file,DI,Performance Evaluation during recording ,age ,Acx good units,OFC good units,sex,borders_table,Notes,current_dir
FALSE,G4A3,1/4/2025,vlOFC (imec1) / Acx (imec0),3800/3500,77/90, G4A2_1b_4t,Noisy,(1b Expert) 1b Categorization,Z:\Shared\Amichai\Data\pipeline_output\catgt_G4A3_1b_4t_g0\A3_GNG_20250401_131526.mat,Yellow,Good,P79,"good: 0, MUA: 1, non-somatic: 1",,male,,,Z:\Shared\Amichai\Data\pipeline_output\catgt_G4A2_1b_4t_g0
FALSE,G3A3,13/02/2025,vlOFC / Acx,3700/3300,80/90,G3A3_rec1_g0,Noisy,(1b Expert) 1b Categorization,Z:\Shared\Amichai\Data\G3A3\2025-02-13\11-55-30\behavior\G3A3_GNG_20250213_115542.mat,Yellow,Great,p60,"good: 18, MUA: 80, non-somatic: 50",,male,,Lick noise,Z:\Shared\Amichai\Data\pipeline_output\catgt_G3A3_rec1_g0
FALSE,G3A3,14/02/2025,vlOFC,3750,85,G3A3_rec2_g0,Noisy,(1b Expert) 1b Categorization,Z:\Shared\Amichai\Data\G3A3\2025-02-14\09-30-00\behavior\G3A3_GNG_20250214_093036.mat,Red,Good,P61,,"good: 10, MUA: 52, non-somatic: 82",male,,Lick noise,Z:\Shared\Amichai\Data\pipeline_output\catgt_G3A3_rec2_g0
FALSE,G3A4,17/2/2025,vlOFC / Acx,3700/3300,87/89,G3A4_rec1_g1,Noisy,(1b Expert) 1b Categorization,Z:\Shared\Amichai\Data\G3A4\2025-02-17\09-45-00\behavior\G3A4_GNG_20250217_094615.mat,Yellow,Great,P64,,,male,,speaker and licking noise - I think I saw the headbar touching the pull,
FALSE,G3A5,18/2/2025,vlOFC / Acx,3700/3300,78/90,G3A5_rec1_g0,Noisy,(1b Expert) 1b Categorization,Z:\Shared\Amichai\Data\G3A5\2025-02-18\10-16-30\behavior\G3A5_GNG_20250218_101650.mat,Yellow,Good-> Not bad,P65,,"good: 0, MUA: 243, non-somatic: 137",male,,I played with the gounding a lot and I think ther is a hole in the poll,Z:\Shared\Amichai\Data\pipeline_output\catgt_G3A5_rec1_g0
FALSE,G4A2,6/4/2025,vlOFC (imec1) / Acx (imec0),3800/3500,76/90,G4A2_1b_4t_g0,Noisy,(1b Expert) 1b Categorization,Z:\Shared\Amichai\Data\G4A2\2025-04-06\12-34-30\behavior\A2_GNG_20250406_120310.mat,Yellow,Good,P84,"good: 0, MUA: 1, non-somatic: 1",,male,,,Z:\Shared\Amichai\Data\pipeline_output\catgt_G4A2_1b_4t_g0
FALSE,G4A5,7/4/2025,vlOFC (imec1) / Acx (imec0),3800/3500,76/90,G4A5_1b_4t_expert_g0,Noisy,(1b Expert) 1b Categorization,Z:\Shared\Amichai\Data\G4A5\2025-04-07\20-24-00\behavior\A5_GNG_20250407_124834.mat,Yellow,Good,P85,"good: 0, MUA: 271, non-somatic: 87","good: 3, MUA: 37, non-somatic: 27",male,,,Z:\Shared\Amichai\Data\pipeline_output\catgt_G4A5_1b_4t_expert_g0
FALSE,G4A6,7/4/2025,vlOFC (imec1),3800,76,G4A6_1b_4t_expert_g0,Noisy,(1b Expert) 1b Categorization,Z:\Shared\Amichai\Data\G4A6\2025-04-07\20-24-00_1\behavior\A6_GNG_20250407_143557.mat,Yellow,Good,P85,"good: 0, MUA: 72, non-somatic: 54",,male,,Couldent insert the Acx probe,Z:\Shared\Amichai\Data\pipeline_output\catgt_G4A6_1b_4t_expert_g0
FALSE,G5A3,31/7/2025,vlOFC (imec1) / Acx (imec0),3628/3100,77/90,G5A3_1b_4t_new_g0,Medium,(1b Expert) 1b Categorization,Z:\Shared\Amichai\Data\G5A3\2025-07-31\14-03-00_1\ephys\catgt_G5A3_1b_4t_new2_g0\G5A3_GNG_20250731_140333.mat,Red,Good,?,"good: 237, MUA: 52, non-somatic: 31","good: 22, MUA: 19, non-somatic: 7",male,,OFC prob is noisy,Z:\Shared\Amichai\Data\G5A3\2025-07-31\14-03-00_1\ephys\catgt_G5A3_1b_4t_new2_g0
FALSE,G6A5,30/9/2025,vlOFC (imec1) / Acx (imec0),2692/3295,68/90,G6A5_expert_1B_3T_tip_g0,Noisy,(1b Expert) 1b Categorization,Z:\Shared\Amichai\Data\G6A5\2025-09-30\09-30-00\ephys\catgt_G6A5_expert_1B_3T_tip_g0\G6A5_GNG_20250930_092451.mat,,Good,P58,"good: 14, MUA: 243, non-somatic: 95","good: 0, MUA: 10, non-somatic: 0",male,,movment noise - hole in the pool. Bin max off. Still rythmic noise :(,Z:\Shared\Amichai\Data\G6A5\2025-09-30\09-30-00\ephys\catgt_G6A5_expert_1B_3T_tip_g0
